rid,mstyle,customer,brand,inv_mgr,item_status,vol_tier,l13w_avg,l26w_avg,man_total,ai_total,ord_total,l13w_26basis,delta_pct,direction,man_zeros,ai_zeros,killed,front_load_score,man_vs_l13,ai_vs_l13,spike_weeks,MAN_W1,MAN_W2,MAN_W3,MAN_W4,MAN_W5,MAN_W6,MAN_W7,MAN_W8,MAN_W9,MAN_W10,MAN_W11,MAN_W12,MAN_W13,MAN_W14,MAN_W15,MAN_W16,MAN_W17,MAN_W18,MAN_W19,MAN_W20,MAN_W21,MAN_W22,MAN_W23,MAN_W24,MAN_W25,MAN_W26,AI_W1,AI_W2,AI_W3,AI_W4,AI_W5,AI_W6,AI_W7,AI_W8,AI_W9,AI_W10,AI_W11,AI_W12,AI_W13,AI_W14,AI_W15,AI_W16,AI_W17,AI_W18,AI_W19,AI_W20,AI_W21,AI_W22,AI_W23,AI_W24,AI_W25,AI_W26,ORD_W1,ORD_W2,ORD_W3,ORD_W4,ORD_W5,ORD_W6,ORD_W7,ORD_W8,ORD_W9,ORD_W10,ORD_W11,ORD_W12,ORD_W13,ORD_W14,ORD_W15,ORD_W16,ORD_W17,ORD_W18,ORD_W19,ORD_W20,ORD_W21,ORD_W22,ORD_W23,ORD_W24,ORD_W25,ORD_W26
23698.0,FF13154,IMPERIAL DISTRIBUTORS,Fresh Step,Shina Yang,Active: Replen,LOW,1.384615384615385,0.6923076923076923,260.0,24.0,209.0,36.000000000000014,983.33,UP,0,24,False,,7.22222222222222,0.6666666666666664,1|2|3|4|5|6|7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|25|26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23734.0,BB16535,"AMAZON.COM.KYDC,INC",Clorox Fraganzia,John Grossi,Active: Replen,LOW,17.53846153846154,20.30769230769231,780.0,528.0,209.0,456.00000000000006,47.73,UP,0,4,False,1.0000,1.7105263157894735,1.157894736842105,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23893.0,FF7216,"AMAZON.COM.KYDC,INC",Chi [LIQUIDS],John Grossi,Active: Replen,MED,438.4615384615385,409.8461538461539,11710.0,15120.0,209.0,11400.000000000002,-22.55,DOWN,0,0,False,0.8020,1.02719298245614,1.326315789473684,,410.0,410.0,410.0,435.0,435.0,435.0,435.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,804.0,936.0,672.0,432.0,648.0,444.0,528.0,768.0,528.0,408.0,396.0,480.0,564.0,540.0,696.0,396.0,408.0,612.0,660.0,936.0,444.0,396.0,408.0,672.0,792.0,552.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23894.0,FF7221,"AMAZON.COM.KYDC,INC",Chi [LIQUIDS],John Grossi,Active: Replen,HIGH,540.0,642.9230769230769,15145.0,14424.0,209.0,14040.0,5.00,FLAT,2,0,False,1.0072,1.0787037037037037,1.0273504273504273,,0.0,0.0,810.0,865.0,865.0,865.0,865.0,575.0,575.0,575.0,575.0,615.0,615.0,615.0,615.0,615.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,456.0,408.0,648.0,408.0,732.0,408.0,816.0,408.0,816.0,420.0,672.0,420.0,672.0,420.0,672.0,420.0,672.0,420.0,672.0,420.0,672.0,420.0,756.0,420.0,756.0,420.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23947.0,FF15592,WAL MART STORES,GNC Pets [Essentials],Amy Rodriguez,Active: Replen,HIGH,2600.307692307692,1975.384615384615,40594.0,48828.0,209.0,67607.99999999999,-16.86,DOWN,0,1,False,0.6996,0.6004319015501125,0.7222222222222224,,1650.0,1650.0,1400.0,1400.0,1400.0,1400.0,1400.0,1650.0,1650.0,1650.0,1650.0,1700.0,1700.0,1700.0,1700.0,1400.0,1400.0,1400.0,1400.0,1400.0,1649.0,1649.0,1649.0,1649.0,1649.0,1649.0,0.0,1200.0,1656.0,1800.0,1824.0,2076.0,2148.0,2868.0,2400.0,2136.0,1260.0,1056.0,2184.0,1932.0,2460.0,1440.0,2688.0,1644.0,3696.0,2676.0,2184.0,1776.0,1692.0,1860.0,2004.0,168.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23948.0,FF15585,WAL MART STORES,Palmer's,Jonathan Pichardo,Active: Replen,HIGH,3638.769230769231,3489.230769230769,86977.0,85908.0,209.0,94608.0,1.24,FLAT,0,1,False,1.4380,0.9193408591239641,0.9080416032470827,,1896.0,2835.0,3607.0,3459.0,4343.0,2916.0,3581.0,3145.0,3559.0,3347.0,3182.0,3232.0,3474.0,3702.0,3786.0,2778.0,3043.0,3727.0,3702.0,3732.0,2753.0,3437.0,3418.0,3441.0,3441.0,3441.0,0.0,2292.0,2064.0,3660.0,1860.0,3024.0,3720.0,1896.0,3312.0,4104.0,4452.0,5028.0,3888.0,4140.0,3192.0,4272.0,4860.0,3972.0,6252.0,2292.0,3000.0,2604.0,2760.0,3348.0,2976.0,2940.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23963.0,FF16705,"AMAZON.COM.KYDC,INC",Arm & Hammer Waste Mgmt,John Grossi,Active: Replen,MED,106.1538461538462,171.6923076923077,9510.0,5136.0,209.0,2760.0000000000014,85.16,UP,1,0,False,1.0226,3.4456521739130417,1.8608695652173903,2|3|8|9|11,0.0,500.0,500.0,365.0,365.0,365.0,365.0,400.0,400.0,400.0,400.0,380.0,380.0,380.0,380.0,380.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,696.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,696.0,156.0,156.0,156.0,156.0,156.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23964.0,FF16704,"AMAZON.COM.KYDC,INC",Arm & Hammer Waste Mgmt,John Grossi,Active: Replen,HIGH,1173.230769230769,841.3846153846154,31285.0,36048.0,209.0,30503.999999999996,-13.21,DOWN,0,0,False,1.0648,1.025603199580383,1.1817466561762393,,1570.0,1570.0,1570.0,1100.0,1100.0,1100.0,1100.0,1210.0,1210.0,1210.0,1210.0,1175.0,1175.0,1175.0,1175.0,1175.0,1050.0,1050.0,1050.0,1050.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,948.0,948.0,948.0,948.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23965.0,FF14303,"AMAZON.COM.KYDC,INC",Rudolph,John Grossi,Active: Promo,ZERO,0.0,0.0,0.0,0.0,209.0,0.0,0.00,BOTH_ZERO,26,26,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
23972.0,FF15595,WAL MART STORES,GNC Pets [Essentials],Amy Rodriguez,Active: Replen,HIGH,1173.230769230769,1140.461538461539,31529.0,28968.0,209.0,30503.999999999996,8.84,UP,0,1,False,0.9222,1.0336021505376345,0.9496459480723841,,1200.0,1200.0,1080.0,1080.0,1080.0,1080.0,1080.0,1296.0,1296.0,1296.0,1296.0,1348.0,1348.0,1348.0,1348.0,1105.0,1105.0,1105.0,1105.0,1105.0,1315.0,1315.0,1315.0,1315.0,1184.0,1184.0,0.0,768.0,1164.0,1200.0,840.0,1656.0,1428.0,1740.0,1692.0,1764.0,876.0,600.0,1248.0,912.0,1176.0,840.0,1500.0,1008.0,720.0,1164.0,1272.0,816.0,1032.0,1128.0,1140.0,1284.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
