mstyle,top_issue,issues,n_accounts,top_accounts,beg_inv_w1,effective_w1,w2_beg,w2_rcv,carry_est,avg_demand_wk,man_26w,ai_26w,lt_wks,opt_wos,current_wos,stockout_wk,next_rcpt,moq,pipeline
FF33637,OVERSTOCK,OVERSTOCK,3,"13640-FF33637, 1864-FF33637, 2342-FF33637",1085,1085,1085,0,,310.0,8060,8940,12.3,6.0,3.3,,2026-08-22,6000,20087
FF7260,OVERSTOCK,OVERSTOCK,11,"13225-FF7260, 23685-FF7260, 20474-FF7260",5161,5161,5161,0,,304.7,7923,7974,16.0,6.0,16.4,,2026-09-17,5000,15165
BB0083,OVERSTOCK,OVERSTOCK; MISMATCH,10,"4524-BB0083, 22008-BB0083, 14182-BB0083",39246,39246,39168,0,,302.4,7863,6106,10.3,8.0,129.6,,2026-08-08,5004,39246
FF8652,OVERSTOCK,OVERSTOCK; MISMATCH,10,"1864-FF8652, 20595-FF8652, 23011-FF8652",14264,14264,14264,0,,299.8,7796,6270,10.7,6.0,47.4,,2026-08-11,5000,17696
BB19109,OVERSTOCK,OVERSTOCK,4,"22008-BB19109, 7199-BB19109, 1864-BB19109",18678,18678,18672,0,,302.8,7570,1956,13.1,6.0,61.7,,2026-08-28,5004,18678
BB15077,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB15077,11937,11937,11895,0,,299.6,7190,3726,10.3,5.0,39.8,,2026-08-08,5004,16941
BB21642,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-BB21642, 4524-BB21642, 3340-BB21642",26964,26964,26904,0,,266.2,6655,3000,13.4,4.0,101.3,,2026-08-30,10008,26964
BB0191,OVERSTOCK,OVERSTOCK,3,"4524-BB0191, 22008-BB0191, 13640-BB0191",20958,20958,20958,0,,1100.0,6600,4158,14.9,8.0,19.1,,2026-09-09,5000,20958
FF4849AMZ,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-FF4849AMZ,5974,5974,5974,0,,294.8,6485,750,16.0,4.0,20.3,,2026-09-17,5000,14980
BB0490,OVERSTOCK,OVERSTOCK; MISMATCH,5,"1579-BB0490, 13825-BB0490, 13032-BB0490",52104,52104,52104,0,,231.8,6027,4764,13.1,0.0,224.2,,2026-08-28,12500,52104
FF5715AMZ2,OVERSTOCK,OVERSTOCK,1,1864-FF5715AMZ2,7596,7596,7596,0,,2000.0,6000,1872,7.9,4.0,3.8,,2026-07-22,48,9612
BB0082,OVERSTOCK,OVERSTOCK; MISMATCH,6,"22008-BB0082, 7199-BB0082, 3892-BB0082",21564,21564,21558,0,,222.8,5792,924,10.3,6.0,96.8,,2026-08-08,5004,26769
FF29833,OVERSTOCK,OVERSTOCK; MISMATCH,5,"19718-FF29833, 1864-FF29833, 23011-FF29833",34464,34464,34464,0,,219.7,5712,4332,19.7,6.0,154.2,,2026-10-13,10080,34464
BB0080,OVERSTOCK,OVERSTOCK; MISMATCH,7,"7199-BB0080, 2659-BB0080, 13872-BB0080",34378,34378,34348,0,,212.7,5530,1386,15.0,6.0,161.4,,2026-09-10,10000,44380
BB11150,OVERSTOCK,OVERSTOCK; MISMATCH,4,"1864-BB11150, 33011-BB11150, 18360-BB11150",30662,30662,30662,0,,217.0,5424,2907,13.1,4.0,141.3,,2026-08-28,5004,30662
BB12383/6,OVERSTOCK,OVERSTOCK,1,12835-BB12383/6,12354,12354,12354,0,,1332.0,5328,5580,21.7,4.0,9.3,,2026-10-27,5000,15558
BB0151,OVERSTOCK,OVERSTOCK; MISMATCH,4,"1864-BB0151, 4524-BB0151, 18360-BB0151",43788,43788,43704,0,,211.2,5280,3624,13.4,6.0,207.3,,2026-08-30,10008,43788
BB16450,OVERSTOCK,OVERSTOCK,2,"1864-BB16450, 4524-BB16450",22812,22812,22584,0,,208.0,5200,5136,13.4,4.0,109.7,,2026-08-30,10008,22812
BB12028,OVERSTOCK,OVERSTOCK; MISMATCH,4,"1864-BB12028, 22008-BB12028, 18360-BB12028",19079,19079,18983,0,,205.0,5125,2430,13.1,8.0,93.1,,2026-08-28,5004,19079
SF8167,OVERSTOCK,OVERSTOCK,6,"3102-SF8167, 12428-SF8167, 19790-SF8167",7074,7074,7074,0,,193.5,5032,4536,12.3,8.0,36.1,,2026-08-22,15000,22122
FF11926,OVERSTOCK,OVERSTOCK; MISMATCH,2,"23219-FF11926, 3102-FF11926",12442,12442,12394,0,,192.0,4800,3192,14.7,6.0,64.8,,2026-09-08,1440,12442
FF17572,OVERSTOCK,OVERSTOCK,1,1885-FF17572,1812,1812,3612,1800,,177.0,4425,3504,14.9,4.0,10.2,,2026-09-09,2400,8592
FF32149,OVERSTOCK,OVERSTOCK,4,"1864-FF32149, 3102-FF32149, 23011-FF32149",13989,13989,13905,0,,176.6,4416,4428,19.7,6.0,79.2,,2026-10-13,2500,13989
BB25519,OVERSTOCK,OVERSTOCK,7,"15339-BB25519, 13032-BB25519, 4651-BB25519",11874,11874,11802,0,,169.5,4408,5256,10.3,8.0,69.3,,2026-08-08,20000,36876
BB27019,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB27019,13700,13700,13700,0,,178.1,4275,750,14.3,4.0,76.9,,2026-09-05,5000,13700
BB15841,OVERSTOCK,OVERSTOCK,2,"1864-BB15841, 13032-BB15841",8183,8183,8183,0,,168.8,4220,4200,12.0,4.0,48.5,,2026-08-20,3000,8183
BB25518,OVERSTOCK,OVERSTOCK; MISMATCH,4,"1864-BB25518, 3700-BB25518, 4524-BB25518",18450,18450,18432,0,,162.0,4212,576,10.3,5.0,113.8,,2026-08-08,5004,18450
FF18959,OVERSTOCK,OVERSTOCK; MISMATCH,3,"20595-FF18959, 3102-FF18959, 16645-FF18959",21117,21117,21093,0,,156.2,4062,1944,13.7,6.0,135.1,,2026-09-01,2000,21117
BB23576,OVERSTOCK,OVERSTOCK,3,"4524-BB23576, 18360-BB23576, 13640-BB23576",9480,9480,9480,0,,557.1,3900,2304,10.6,6.0,25.6,,2026-08-10,10002,16482
BB21950,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-BB21950, 18360-BB21950, 16001-BB21950",15192,15192,15192,0,,155.2,3880,750,13.1,8.0,97.9,,2026-08-28,5004,15192
BB21643,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-BB21643, 4524-BB21643, 22008-BB21643",37416,37416,36972,0,,153.2,3830,1500,13.4,5.0,244.2,,2026-08-30,10008,37416
FF31032,OVERSTOCK,OVERSTOCK,4,"1864-FF31032, 23011-FF31032, 3102-FF31032",12433,12433,12373,0,,148.6,3716,3264,14.4,6.0,83.6,,2026-09-06,5000,12433
BB21949,OVERSTOCK,OVERSTOCK,3,"1864-BB21949, 18360-BB21949, 16001-BB21949",16050,16050,16050,0,,148.1,3702,3108,13.1,5.0,108.4,,2026-08-28,5004,17850
FF22317,OVERSTOCK,OVERSTOCK,6,"9108-FF22317, 3466-FF22317, 3102-FF22317",6888,6888,6888,0,,141.1,3668,3312,12.3,6.0,47.8,,2026-08-22,5016,9888
FF18958,OVERSTOCK,OVERSTOCK; MISMATCH,3,"20595-FF18958, 3466-FF18958, 16645-FF18958",7043,7043,7043,0,,139.5,3626,2112,13.7,6.0,50.5,,2026-09-01,2000,9059
FF28036,OVERSTOCK,OVERSTOCK,2,"13640-FF28036, 22008-FF28036",15368,15368,15368,0,,1800.0,3600,3360,11.1,6.0,8.5,,2026-08-14,5000,15368
FF11926KL,OVERSTOCK,OVERSTOCK; MISMATCH,1,11169-FF11926KL,6768,6768,6696,0,,148.0,3552,1872,14.7,4.0,45.7,,2026-09-08,1440,6768
FF31480,OVERSTOCK,OVERSTOCK; MISMATCH,2,"1864-FF31480, 3102-FF31480",15623,15623,15611,0,,132.6,3316,969,19.7,4.0,117.8,,2026-10-13,10008,15623
BB29904,OVERSTOCK,OVERSTOCK; MISMATCH,2,"1864-BB29904, 33011-BB29904",12600,12600,12600,0,,131.4,3286,1728,11.7,0.0,95.9,,2026-08-18,5000,12600
FF10159AMZ2,OVERSTOCK,OVERSTOCK,1,1864-FF10159AMZ2,16303,16303,16303,0,,298.2,3280,1662,7.9,4.0,54.7,,2026-07-22,48,16303
FF31063,OVERSTOCK,OVERSTOCK,7,"1864-FF31063, 2342-FF31063, 16553-FF31063",1079,1079,1079,0,,292.1,3213,2736,17.4,6.0,3.7,,2026-09-27,5000,11111
FF8831,OVERSTOCK,OVERSTOCK,3,"3102-FF8831, 9108-FF8831, 11169-FF8831",19116,19116,18996,0,,122.4,3182,3075,14.7,6.0,156.0,,2026-09-08,1440,19116
FF29319,OVERSTOCK,OVERSTOCK,3,"1864-FF29319, 3102-FF29319, 23011-FF29319",7960,7960,7960,0,,124.4,3110,8724,10.3,6.0,64.0,,2026-08-08,2000,7960
BB15073,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-BB15073, 4651-BB15073, 21152-BB15073",11977,11977,11977,0,,119.5,3106,1578,10.3,5.0,100.2,,2026-08-08,5004,11977
BB12752,OVERSTOCK,OVERSTOCK; MISMATCH,4,"22008-BB12752, 1864-BB12752, 18360-BB12752",26874,26874,26874,0,,123.0,3075,1080,13.1,4.0,218.5,,2026-08-28,5004,26874
BB28325,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB28325,10630,10630,10630,0,,115.8,2895,1300,14.3,4.0,91.8,,2026-09-05,5000,10630
BB16316,OVERSTOCK,OVERSTOCK; MISMATCH,5,"2659-BB16316, 13032-BB16316, 13872-BB16316",10630,10630,10504,0,,106.1,2758,941,10.3,6.0,100.0,,2026-08-08,5004,10630
BB16854,OVERSTOCK,OVERSTOCK,3,"7291-BB16854, 1864-BB16854, 13872-BB16854",17640,17640,17544,0,,105.9,2647,3576,10.6,6.0,166.6,,2026-08-10,10008,17640
FF8298,OVERSTOCK,OVERSTOCK,4,"3102-FF8298, 23011-FF8298, 9278-FF8298",19684,19684,19639,0,,99.5,2588,2448,10.1,6.0,197.5,,2026-08-07,10000,19684
