key,cust,model,ai_total,man_total,delta_pct,abs_gap,man_shape,ai_shape,status_cust,rule_fires
33011-BB35522,"WALMART.COM",Sparse Intermittent,246,520,-52.7,-274,FLAT,SPARSE,A,F17|F61
1864-FF13880PCS2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,432,705,-38.7,-273,VARIABLE,FLAT,A,F15|F38|F38b|F43|F47|F59e|F59f|VP-Q1|VP-Q4
1864-FF31605,"AMAZON.COM.KYDC,INC",Seasonal Baseline,3528,3255,8.4,273,FLAT,VARIABLE,A,F15|F16|F37|F38b|F45|F59d|F59j|VP-Q1|VP-Q2|VP-Q4
14023-FF9297/24,"NAVY EXCHANGE SERVICE COMM",Sparse Intermittent,792,520,52.3,272,FLAT,SPARSE,A,F17|F64
20474-FF4923,"THEIS DISTRIBUTING COMPANY INC",Croston's,792,520,52.3,272,FLAT,FLAT,A,F26|F37|F62|F64|F66|F71|VP-Q3
13825-FF7258,"MILLS FLEET FARM",Croston's,354,625,-43.4,-271,FLAT,SPARSE,A,F61|VP-Q3
23018-FF6637,"WAL-MART CANADA",Seasonal Baseline,2802,2531,10.7,271,FLAT,VARIABLE,A,F16|F37|F64|VP-Q1
14721-FF28036AU,"TJX AUSTRALIA PTY LIMITED",Sparse Intermittent,510,780,-34.6,-270,FLAT,SPARSE,A,F61
23011-FF13154,"WAL MART STORES",Croston's,1020,750,36.0,270,FLAT,FLAT,A: NEW 3/25,F37|F57|F64|F71|VP-Q3|VP-Q4
1864-BB33249,"AMAZON.COM.KYDC,INC",Croston's,1836,2105,-12.8,-269,FLAT,FLAT,A,F37|F59a|F59o|M1|VP-Q4
1745-FF4775,"ARMY-AIR-FORCE EXCH SR",Croston's,252,520,-51.5,-268,FLAT,SPARSE,A,F64|F66|F71
1864-FF30758PCS3,"AMAZON.COM.KYDC,INC",Heuristic,232,500,-53.6,-268,FLAT,VARIABLE,A,F23b|F59e|F59h|F63|F_PO_CUTOFF
23011-BB0096PCS2,"WAL MART STORES",Seasonal Baseline,732,1000,-26.8,-268,FLAT,FLAT,A,F24|F37|F47|F64|F66|F6b|VP-ATS|VP-ATS-Catch|VP-Q1|VP-Q4
23011-FF32840,"WAL MART STORES",Croston's,432,700,-38.3,-268,FLAT,FLAT,A,F35|F37|F64|VP-Q4
11169-FF8423KL,"KOHL'S DEPT STR",Seasonal Baseline,1080,1346,-19.8,-266,VARIABLE,BACK_LOADED,A,F16|F26|F35|F41|F62|F64|VP-OP|VP-Q1|VP-Q4
14721-FF4933AU,"TJX AUSTRALIA PTY LIMITED",Sparse Intermittent,384,650,-40.9,-266,FLAT,SPARSE,A: Off-Price,F10|F17|F34|F37|F64|M1
1587-FF15718,"SUPERVALU",Sparse Intermittent,384,650,-40.9,-266,FLAT,SPARSE,A,F17|F37|F64|VP-Q3
