key,cust,mstyle,model_base,model_vp2,baseline_mode_base,baseline_mode_vp2,old_wkly,new_wkly,old_26w,new_26w,delta_units,delta_pct
23011-BB0092PCS2,WAL MART STORES,BB0092PCS2,Sparse Intermittent,Sparse Intermittent,,,0.7,0.7,18,18,0,0.0
23011-BB0102PCS2,WAL MART STORES,BB0102PCS2,Croston's,Croston's,,,20.5,20.5,534,534,0,0.0
23011-BB12479,WAL MART STORES,BB12479,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-BB24711,WAL MART STORES,BB24711,New/Relaunch,New/Relaunch,,,10.0,10.0,260,260,0,0.0
23011-BB29490/6,WAL MART STORES,BB29490/6,New/Relaunch,New/Relaunch,,,6.0,6.0,156,156,0,0.0
23011-BB34403,WAL MART STORES,BB34403,New/Relaunch,New/Relaunch,,,6.0,6.0,156,156,0,0.0
23011-BB35904,WAL MART STORES,BB35904,New/Relaunch,New/Relaunch,,,6.0,6.0,156,156,0,0.0
23011-FF10530,WAL MART STORES,FF10530,New/Relaunch,New/Relaunch,,,12.0,12.0,312,312,0,0.0
23011-FF11353,WAL MART STORES,FF11353,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF11926,WAL MART STORES,FF11926,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF11927,WAL MART STORES,FF11927,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF12375,WAL MART STORES,FF12375,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 7728 units),L13 nz-avg (OOS: fill-rate 8% over 7728 units),643.8,644.1,16740,16746,6,0.0
23011-FF12508,WAL MART STORES,FF12508,Croston's,Croston's,,,18.5,18.5,480,480,0,0.0
23011-FF13875,WAL MART STORES,FF13875,Croston's,Croston's,,,3.0,3.0,78,78,0,0.0
23011-FF13876,WAL MART STORES,FF13876,Croston's,Croston's,,,26.3,26.3,684,684,0,0.0
23011-FF15584,WAL MART STORES,FF15584,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 25920 units),L13 nz-avg (OOS: fill-rate 8% over 25920 units),2092.6,2092.6,54408,54408,0,0.0
23011-FF15718,WAL MART STORES,FF15718,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF16704,WAL MART STORES,FF16704,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 336 units),L13 nz-avg (OOS: fill-rate 8% over 336 units),36.0,36.0,936,936,0,0.0
23011-FF18956,WAL MART STORES,FF18956,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF19546,WAL MART STORES,FF19546,Croston's,Croston's,,,11.1,11.1,288,288,0,0.0
23011-FF19592,WAL MART STORES,FF19592,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 17820 units),L13 nz-avg (OOS: fill-rate 8% over 17820 units),1438.8,1439.3,37410,37422,12,0.0
23011-FF20001,WAL MART STORES,FF20001,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 57960 units),L13 nz-avg (OOS: fill-rate 8% over 57960 units),4680.0,4681.4,121680,121716,36,0.0
23011-FF20208,WAL MART STORES,FF20208,New/Relaunch,New/Relaunch,,,12.0,12.0,312,312,0,0.0
23011-FF22070,WAL MART STORES,FF22070,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF22071,WAL MART STORES,FF22071,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF22072,WAL MART STORES,FF22072,Sparse Intermittent,Sparse Intermittent,,,12.9,12.9,336,336,0,0.0
23011-FF22317,WAL MART STORES,FF22317,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF23346,WAL MART STORES,FF23346,Sparse Intermittent,Sparse Intermittent,,,7.4,7.4,192,192,0,0.0
23011-FF25556,WAL MART STORES,FF25556,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF25667,WAL MART STORES,FF25667,Heuristic,Heuristic,,,24.0,24.0,624,624,0,0.0
23011-FF25670,WAL MART STORES,FF25670,Croston's,Croston's,,,24.0,24.0,624,624,0,0.0
23011-FF25689,WAL MART STORES,FF25689,Sparse Intermittent,Sparse Intermittent,,,9.2,9.2,240,240,0,0.0
23011-FF25895,WAL MART STORES,FF25895,Heuristic,Heuristic,,,0.0,0.0,0,0,0,0
23011-FF27997,WAL MART STORES,FF27997,Croston's,Croston's,,,10.0,10.0,260,260,0,0.0
23011-FF28402,WAL MART STORES,FF28402,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF28429,WAL MART STORES,FF28429,Heuristic,Inactive,,,0.0,0.0,0,0,0,0
23011-FF29220,WAL MART STORES,FF29220,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF29834,WAL MART STORES,FF29834,Croston's,Croston's,,,48.0,48.0,1248,1248,0,0.0
23011-FF30361,WAL MART STORES,FF30361,Croston's,Croston's,,,1.8,1.8,48,48,0,0.0
23011-FF30363,WAL MART STORES,FF30363,Croston's,Croston's,,,24.0,24.0,624,624,0,0.0
23011-FF30364,WAL MART STORES,FF30364,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF30426,WAL MART STORES,FF30426,New/Relaunch,New/Relaunch,,,6.0,6.0,156,156,0,0.0
23011-FF31076,WAL MART STORES,FF31076,Croston's,Croston's,,,23.5,23.5,612,612,0,0.0
23011-FF32148,WAL MART STORES,FF32148,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 6% over 1008 units),L13 nz-avg (OOS: fill-rate 6% over 1008 units),99.7,99.7,2592,2592,0,0.0
23011-FF32149,WAL MART STORES,FF32149,Sparse Intermittent,Sparse Intermittent,,,6.5,6.5,168,168,0,0.0
23011-FF32364,WAL MART STORES,FF32364,Croston's,Croston's,,,19.6,19.6,510,510,0,0.0
23011-FF34938,WAL MART STORES,FF34938,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 7% over 29400 units),L13 nz-avg (OOS: fill-rate 7% over 29400 units),2374.6,2374.6,61740,61740,0,0.0
23011-FF4577,WAL MART STORES,FF4577,Sparse Intermittent,Sparse Intermittent,,,1.8,1.8,48,48,0,0.0
23011-FF7215,WAL MART STORES,FF7215,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF7218,WAL MART STORES,FF7218,Croston's,Croston's,,,12.0,12.0,312,312,0,0.0
23011-FF7221,WAL MART STORES,FF7221,Croston's,Croston's,,,0.0,0.0,0,0,0,0
