key,mstyle,cust,desc,pattern,model,manual,ai,gap_pct,l13_nz_avg,l52_peak,bucket
1864-BB0149PCS12,BB0149PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,21,159,
1864-BB0149PCS2,BB0149PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,233,618,
1864-BB0149PCS6,BB0149PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,456,1156,
1864-BB0150,BB0150,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,894,1584,
1864-BB0150PCS12,BB0150PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,38,217,
1864-BB0151,BB0151,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,120,240,
1864-BB0151PCS12,BB0151PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,9,30,
1864-BB0151PCS6,BB0151PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,23,59,
1864-BB0152,BB0152,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,55,120,
1864-BB0152PCS12,BB0152PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,21,
1864-BB0190,BB0190,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,207,786,
1864-BB0191,BB0191,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0191PCS2,BB0191PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,315,933,
1864-BB0191PCS6,BB0191PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,4,
1864-BB0192,BB0192,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,60,138,
1864-BB0192PCS6,BB0192PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,1,
1864-BB0193,BB0193,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0216,BB0216,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,61,258,
1864-BB0216PCS6,BB0216PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,19,
1864-BB0217,BB0217,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,82,198,
1864-BB0217PCS2,BB0217PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,12,21,
1864-BB0217PCS6,BB0217PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,21,
1864-BB0231,BB0231,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,226,1092,
1864-BB0231PCS6,BB0231PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,6,24,
1864-BB0234,BB0234,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,168,
1864-BB0234PCS2,BB0234PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,36,100,
1864-BB0234PCS6,BB0234PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,21,
1864-BB0235,BB0235,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,558,
1864-BB0235PCS2,BB0235PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,38,157,
1864-BB0235PCS6,BB0235PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,13,67,
1864-BB0236,BB0236,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,94,180,
1864-BB0236PCS6,BB0236PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,3,
1864-BB0237,BB0237,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1945,5946,
1864-BB0237PCS6,BB0237PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,17,
1864-BB0332,BB0332,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0332PCS5,BB0332PCS5,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0385,BB0385,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,16,84,
1864-BB0385PCS2,BB0385PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,15,
1864-BB0385PCS6,BB0385PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,2,
1864-BB0399,BB0399,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,243,330,
1864-BB0399PCS6,BB0399PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,8,15,
1864-BB0407,BB0407,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,253,924,
1864-BB0407PCS6,BB0407PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,11,33,
1864-BB0409,BB0409,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0409EC,BB0409EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,56,366,
1864-BB0409PCS2,BB0409PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,103,210,
1864-BB0409PCS6,BB0409PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,26,
1864-BB0411,BB0411,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,107,462,
1864-BB0411PCS6,BB0411PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,11,20,
1864-BB0419,BB0419,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,135,468,
1864-BB0419PCS6,BB0419PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,39,55,
1864-BB0424,BB0424,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0424EC,BB0424EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,199,1224,
1864-BB0424PCS2,BB0424PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,179,2952,
1864-BB0435,BB0435,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,14,66,
1864-BB0435PCS6,BB0435PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,8,
1864-BB0463,BB0463,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,99,516,
1864-BB0466,BB0466,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1328,27180,
1864-BB0466PCS6,BB0466PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,9,31,
1864-BB0473,BB0473,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,293,612,
1864-BB0473PCS6,BB0473PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,8,
1864-BB0481,BB0481,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,204,630,
1864-BB0489,BB0489,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0489PCS6,BB0489PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,38,
1864-BB0490,BB0490,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,234,
1864-BB0490PCS2,BB0490PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,37,
1864-BB0490PCS6,BB0490PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,4,
1864-BB0492,BB0492,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,48,144,
1864-BB0520,BB0520,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,16,48,
1864-BB0578,BB0578,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,817,3636,
1864-BB0578PCS12,BB0578PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,7,105,
1864-BB0669,BB0669,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,14,42,
1864-BB0669PCS6,BB0669PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,1,
1864-BB0701,BB0701,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,11,96,
1864-BB0705,BB0705,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0705EC,BB0705EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,751,3198,
1864-BB0705PCS2,BB0705PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,333,702,
1864-BB0705PCS6,BB0705PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB0706,BB0706,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,258,
1864-BB0706PCS6,BB0706PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,10,66,
1864-BB0712,BB0712,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,38,208,
1864-BB0722,BB0722,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,38,96,
1864-BB0759,BB0759,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,113,288,
1864-BB0759PCS6,BB0759PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,4,
1864-BB0760,BB0760,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,142,510,
1864-BB11150,BB11150,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,104,282,
1864-BB11150PCS6,BB11150PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4,14,
1864-BB11417,BB11417,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,144,
1864-BB11417FL/12,BB11417FL/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,24,48,
1864-BB11417PCS2,BB11417PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB11417PCS24,BB11417PCS24,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,2,
1864-BB11439,BB11439,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,612,
1864-BB11483,BB11483,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,74,2628,
1864-BB11483PCS6,BB11483PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,168,
1864-BB11483PX6,BB11483PX6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
